primaryTitle,primaryName
In the Mood for Love,Ping Bin Lee
In the Mood for Love,Tony Chiu-Wai Leung
In the Mood for Love,Maggie Cheung
In the Mood for Love,Ping Lam Siu
In the Mood for Love,Tung Cho 'Joe' Cheung
In the Mood for Love,Kar-Wai Wong
In the Mood for Love,Michael Galasso
In the Mood for Love,Shigeru Umebayashi
In the Mood for Love,Christopher Doyle
In the Mood for Love,Pung-Leung Kwan
The Lord of the Rings: The Fellowship of the Ring,Tim Sanders
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood
The Lord of the Rings: The Fellowship of the Ring,Ian McKellen
The Lord of the Rings: The Fellowship of the Ring,Orlando Bloom
The Lord of the Rings: The Fellowship of the Ring,Sean Bean
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson
The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien
The Lord of the Rings: The Fellowship of the Ring,Fran Walsh
The Lord of the Rings: The Fellowship of the Ring,Philippa Boyens
The Lord of the Rings: The Fellowship of the Ring,Barrie M. Osborne
Mulholland Dr.,Mary Sweeney
Mulholland Dr.,Naomi Watts
Mulholland Dr.,Laura Harring
Mulholland Dr.,Justin Theroux
Mulholland Dr.,Jeanne Bates
Mulholland Dr.,David Lynch
Mulholland Dr.,Neal Edelstein
Mulholland Dr.,Tony Krantz
Mulholland Dr.,Michael Polaire
Mulholland Dr.,Alain Sarde
The Lord of the Rings: The Return of the King,Howard Shore
The Lord of the Rings: The Return of the King,Elijah Wood
The Lord of the Rings: The Return of the King,Viggo Mortensen
The Lord of the Rings: The Return of the King,Ian McKellen
The Lord of the Rings: The Return of the King,Orlando Bloom
The Lord of the Rings: The Return of the King,Peter Jackson
The Lord of the Rings: The Return of the King,J.R.R. Tolkien
The Lord of the Rings: The Return of the King,Fran Walsh
The Lord of the Rings: The Return of the King,Philippa Boyens
The Lord of the Rings: The Return of the King,Barrie M. Osborne
The Lord of the Rings: The Two Towers,Barrie M. Osborne
The Lord of the Rings: The Two Towers,Elijah Wood
The Lord of the Rings: The Two Towers,Ian McKellen
The Lord of the Rings: The Two Towers,Viggo Mortensen
The Lord of the Rings: The Two Towers,Orlando Bloom
The Lord of the Rings: The Two Towers,Peter Jackson
The Lord of the Rings: The Two Towers,J.R.R. Tolkien
The Lord of the Rings: The Two Towers,Fran Walsh
The Lord of the Rings: The Two Towers,Philippa Boyens
The Lord of the Rings: The Two Towers,Stephen Sinclair
Bittersweet Motel,Trey Anastasio
Bittersweet Motel,Jon Fishman
Bittersweet Motel,Mike Gordon
Bittersweet Motel,Page McConnell
Bittersweet Motel,Todd Phillips
Bittersweet Motel,Elia Lyssy
Bittersweet Motel,Alan Oxman
Dancer in the Dark,Karl Júlíusson
Dancer in the Dark,Björk
Dancer in the Dark,Catherine Deneuve
Dancer in the Dark,David Morse
Dancer in the Dark,Peter Stormare
Dancer in the Dark,Lars von Trier
Dancer in the Dark,Vibeke Windeløv
Dancer in the Dark,Robby Müller
Dancer in the Dark,François Gédigier
Dancer in the Dark,Molly Malene Stensgaard
Lagaan: Once Upon a Time in India,Anil Mehta
Lagaan: Once Upon a Time in India,Aamir Khan
Lagaan: Once Upon a Time in India,Raghuvir Yadav
Lagaan: Once Upon a Time in India,Gracy Singh
Lagaan: Once Upon a Time in India,Rachel Shelley
Lagaan: Once Upon a Time in India,Ashutosh Gowariker
Lagaan: Once Upon a Time in India,Kumar Dave
Lagaan: Once Upon a Time in India,Sanjay Dayma
Lagaan: Once Upon a Time in India,K.P. Saxena
Lagaan: Once Upon a Time in India,A.R. Rahman
Gladiator,Douglas Wick
Gladiator,Russell Crowe
Gladiator,Joaquin Phoenix
Gladiator,Connie Nielsen
Gladiator,Oliver Reed
Gladiator,Ridley Scott
Gladiator,David Franzoni
Gladiator,John Logan
Gladiator,William Nicholson
Gladiator,Branko Lustig
Requiem for a Dream,Matthew Libatique
Requiem for a Dream,Ellen Burstyn
Requiem for a Dream,Jared Leto
Requiem for a Dream,Jennifer Connelly
Requiem for a Dream,Marlon Wayans
Requiem for a Dream,Darren Aronofsky
Requiem for a Dream,Hubert Selby Jr.
Requiem for a Dream,Eric Watson
Requiem for a Dream,Palmer West
Requiem for a Dream,Clint Mansell
"Monsters, Inc.",Ralph Eggleston
"Monsters, Inc.",Billy Crystal
"Monsters, Inc.",John Goodman
"Monsters, Inc.",Mary Gibbs
"Monsters, Inc.",Steve Buscemi
"Monsters, Inc.",Pete Docter
"Monsters, Inc.",David Silverman
"Monsters, Inc.",Lee Unkrich
"Monsters, Inc.",Jill Culton
"Monsters, Inc.",Jeff Pidgeon
Snatch,Hugo Luczyc-Wyhowski
Snatch,Jason Statham
Snatch,Brad Pitt
Snatch,Benicio Del Toro
Snatch,Dennis Farina
Snatch,Guy Ritchie
Snatch,Matthew Vaughn
Snatch,John Murphy
Snatch,Tim Maurice-Jones
Snatch,Jon Harris
Memento,Wally Pfister
Memento,Guy Pearce
Memento,Carrie-Anne Moss
Memento,Joe Pantoliano
Memento,Mark Boone Junior
Memento,Christopher Nolan
Memento,Jonathan Nolan
Memento,Jennifer Todd
Memento,Suzanne Todd
Memento,David Julyan
Sky Hook,Marko Glusac
Sky Hook,Nebojsa Glogovac
Sky Hook,Ana Sofrenovic
Sky Hook,Ivan Jevtovic
Sky Hook,Katarina Zutic
Sky Hook,Ljubisa Samardzic
Sky Hook,Srdjan Koljevic
Sky Hook,Djordje Milosavljevic
Sky Hook,Vlatko Stefanovski
Sky Hook,Radoslav Vladic
Amélie,Hervé Schneid
Amélie,Audrey Tautou
Amélie,Mathieu Kassovitz
Amélie,Rufus
Amélie,Lorella Cravotta
Amélie,Jean-Pierre Jeunet
Amélie,Guillaume Laurant
Amélie,Claudie Ossard
Amélie,Yann Tiersen
Amélie,Bruno Delbonnel
Black Tar Heroin: The Dark End of the Street,Alice McMunn
Black Tar Heroin: The Dark End of the Street,Steven Okazaki
Black Tar Heroin: The Dark End of the Street,Will Bernard
Black Tar Heroin: The Dark End of the Street,Ovarian Trolley
Black Tar Heroin: The Dark End of the Street,Michael Chin
Black Tar Heroin: The Dark End of the Street,Blake McHugh
Black Tar Heroin: The Dark End of the Street,Justin Schein
Hey Ram,Kamal Haasan
Hey Ram,Shah Rukh Khan
Hey Ram,Rani Mukerji
Hey Ram,Hema Malini
Hey Ram,H. Banerjee
Hey Ram,Manohar Shyam Joshi
Hey Ram,Ilaiyaraaja
Hey Ram,S. Tirru
Hey Ram,Renu Saluja
Sound and Fury,John Griffin
Sound and Fury,Jaime Leigh Allen
Sound and Fury,Jemma Braham
Sound and Fury,Freeda Cat
Sound and Fury,Scott Davidson
Sound and Fury,Josh Aronson
Sound and Fury,Roger Weisberg
Sound and Fury,Mark Suozzo
Sound and Fury,Ann Collins
Sound and Fury,Ruthanne Gereghty
Alai Payuthey,A. Sreekar Prasad
Alai Payuthey,Madhavan
Alai Payuthey,Shalini
Alai Payuthey,Swarnamalya
Alai Payuthey,V. Natarajan
Alai Payuthey,Mani Ratnam
Alai Payuthey,R. Selvaraj
Alai Payuthey,G. Srinivasan
Alai Payuthey,A.R. Rahman
Alai Payuthey,P.C. Sreeram
Fraud Business,A.G. Nadiadwala
Fraud Business,Akshay Kumar
Fraud Business,Paresh Rawal
Fraud Business,Sunil Shetty
Fraud Business,Tabu
Fraud Business,Priyadarshan
Fraud Business,Siddique
Fraud Business,Lal
Fraud Business,Neeraj Vora
Fraud Business,Anand S. Vardhan
Yi Yi,Nien-Jen Wu
Yi Yi,Elaine Jin
Yi Yi,Issei Ogata
Yi Yi,Kelly Lee
Yi Yi,Edward Yang
Yi Yi,Kai-Li Peng
Yi Yi,Wei-Han Yang
Yi Yi,Po-Wen Chen
Yi Yi,Peng
Spirited Away,Joe Hisaishi
Spirited Away,Daveigh Chase
Spirited Away,Suzanne Pleshette
Spirited Away,Miyu Irino
Spirited Away,Rumi Hiiragi
Spirited Away,Hayao Miyazaki
Spirited Away,Kirk Wise
Spirited Away,Donald W. Ernst
