origins,destinations,counts,lon_o,lat_o,lon_d,lat_d
Gulf of Mexico,Naval Base Point Loma,76,-90.065918,25.304304,-117.2400346,32.6889711
Pacific Ocean,SeaWorld San Diego ,61,-124.508523,-8.783195,-117.2266083,32.7647903
SeaWorld Aurora ,SeaWorld San Diego ,26,-81.36843999999999,41.34552,-117.2266083,32.7647903
Florida,Marineland of Florida ,25,-81.5157535,27.6648274,-81.213398,29.6688614
SeaWorld San Diego ,SeaWorld San Antonio ,23,-117.2266083,32.7647903,-98.69931509999999,29.4584176
Eastern Florida,SeaWorld Orlando ,19,-80.6708733,28.169954,-81.4617047,28.4114555
Florida Keys,Dolphin Research Center ,19,-81.5357506,25.0273356,-97.2067768,26.0781091
SeaWorld San Diego ,SeaWorld Aurora ,18,-117.2266083,32.7647903,-81.36843999999999,41.34552
SeaWorld San Diego ,SeaWorld Orlando ,18,-117.2266083,32.7647903,-81.4617047,28.4114555
SeaWorld Aurora ,SeaWorld Orlando ,16,-81.36843999999999,41.34552,-81.4617047,28.4114555
Gulf of Mexico,SeaWorld San Diego ,15,-90.065918,25.304304,-117.2266083,32.7647903
SeaWorld Orlando ,Discovery Cove ,15,-81.4617047,28.4114555,-81.462485,28.4050098
SeaWorld Orlando,Discovery Cove ,14,-81.4617047,28.4114555,-81.462485,28.4050098
Busch Gardens Tampa ,SeaWorld Orlando ,13,-82.41949009999999,28.0372161,-81.4617047,28.4114555
Marineland of the Pacific,SeaWorld San Diego ,13,-118.3980757,33.7363084,-117.2266083,32.7647903
SeaWorld Orlando ,Busch Gardens Tampa ,13,-81.4617047,28.4114555,-82.41949009999999,28.0372161
Discovery Cove ,SeaWorld Orlando ,12,-81.462485,28.4050098,-81.4617047,28.4114555
Florida Keys,SeaWorld Orlando ,12,-81.5357506,25.0273356,-81.4617047,28.4114555
Chile ,SeaWorld San Diego ,12,-71.542969,-35.675147,-117.2266083,32.7647903
SeaWorld Orlando ,SeaWorld Aurora ,11,-81.4617047,28.4114555,-81.36843999999999,41.34552
SeaWorld Orlando ,SeaWorld San Antonio ,10,-81.4617047,28.4114555,-98.69931509999999,29.4584176
Straits of Magellan,Chile ,10,-70.759749,-53.58881719999999,-71.542969,-35.675147
SeaWorld Aurora ,SeaWorld San Antonio ,9,-81.36843999999999,41.34552,-98.69931509999999,29.4584176
SeaWorld Orlando,SeaWorld Aurora ,9,-81.4617047,28.4114555,-81.36843999999999,41.34552
Brookfield Zoo ,Dolphin Connection ,8,-87.8357137,41.8328916,-80.9096457,24.7764696
Florida Keys,Dolphins Plus Oceanside ,8,-81.5357506,25.0273356,-80.442206,25.0843436
Florida Keys,Theater of the Sea ,8,-81.5357506,25.0273356,-71.5627531,41.3770733
Gulf of Mexico,Naval Base Point Loma,8,-90.065918,25.304304,-117.2400346,32.6889711
Gulf of Mexico,Walker's Island ,8,-90.065918,25.304304,-78.4034188,27.2599407
Pacific Ocean,Naval Base Point Loma,8,-124.508523,-8.783195,-117.2400346,32.6889711
SeaWorld San Antonio ,SeaWorld Orlando ,8,-98.69931509999999,29.4584176,-81.4617047,28.4114555
Discovery Cove,SeaWorld Orlando ,7,-81.462485,28.4050098,-81.4617047,28.4114555
Dolphin Quest Hawaii,Dolphin Quest Oahu ,7,-155.889022,19.925505,-157.773445,21.271999
Gulf of Mexico,SeaWorld San Diego ,7,-90.065918,25.304304,-117.2266083,32.7647903
