origins,destinations,counts,lon_o,lat_o,lon_d,lat_d
Gulf of Mexico,Naval Base Point Loma,90,-90.065918,25.304304,-117.2400346,32.6889711
Pacific Ocean,SeaWorld San Diego,62,-124.508523,-8.783195,-117.2266083,32.7647903
SeaWorld Orlando,Discovery Cove Orlando,39,-81.4617047,28.4114555,-81.4597077,28.4060928
Gulf of Mexico,SeaWorld San Diego,30,-90.065918,25.304304,-117.2266083,32.7647903
SeaWorld Aurora,SeaWorld San Diego,30,-81.36843999999999,41.34552,-117.2266083,32.7647903
SeaWorld San Diego,SeaWorld Aurora,27,-117.2266083,32.7647903,-81.36843999999999,41.34552
SeaWorld San Diego,SeaWorld San Antonio,27,-117.2266083,32.7647903,-98.69931509999999,29.4584176
Florida,Marineland of Florida,25,-81.5157535,27.6648274,-81.213398,29.6688614
SeaWorld San Diego,SeaWorld Orlando,25,-117.2266083,32.7647903,-81.4617047,28.4114555
Florida,Dolphin Research Center,23,-81.5157535,27.6648274,-74.9064696,38.9513858
SeaWorld Orlando,SeaWorld Aurora,22,-81.4617047,28.4114555,-81.36843999999999,41.34552
Discovery Cove Orlando,SeaWorld Orlando,20,-81.4597077,28.4060928,-81.4617047,28.4114555
Pacific Ocean,Naval Base Point Loma,20,-124.508523,-8.783195,-117.2400346,32.6889711
SeaWorld Aurora,SeaWorld Orlando,19,-81.36843999999999,41.34552,-81.4617047,28.4114555
Florida,SeaWorld Orlando,18,-81.5157535,27.6648274,-81.4617047,28.4114555
Marineland of the Pacific,SeaWorld San Diego,16,-118.3980757,33.7363084,-117.2266083,32.7647903
Dolphins Plus,Dolphins Plus,15,-80.41895989999999,25.1189869,-80.41895989999999,25.1189869
Florida,Naval Base Point Loma,15,-81.5157535,27.6648274,-117.2400346,32.6889711
SeaWorld Orlando,Busch Gardens Tampa,14,-81.4617047,28.4114555,-82.41949009999999,28.0372161
SeaWorld Orlando,SeaWorld San Antonio,14,-81.4617047,28.4114555,-98.69931509999999,29.4584176
Busch Gardens Tampa,SeaWorld Orlando,13,-82.41949009999999,28.0372161,-81.4617047,28.4114555
Dolphin Quest Hawaii,Dolphin Quest Oahu,13,-155.889022,19.925505,-157.773445,21.271999
Chile,SeaWorld San Diego,12,-71.542969,-35.675147,-117.2266083,32.7647903
SeaWorld Orlando,SeaWorld San Diego,12,-81.4617047,28.4114555,-117.2266083,32.7647903
Florida,Dolphins Plus,11,-81.5157535,27.6648274,-80.41895989999999,25.1189869
"Hudson Bay, Manitoba",SeaWorld San Diego,11,-98.647012899999993,49.1963343,-117.2266083,32.7647903
SeaWorld San Antonio,SeaWorld Orlando,11,-98.69931509999999,29.4584176,-81.4617047,28.4114555
Gulf of Mexico,Marine Animal Productions,10,-90.065918,25.304304,-89.0187972,30.4204487
SeaWorld Aurora,SeaWorld San Antonio,10,-81.36843999999999,41.34552,-98.69931509999999,29.4584176
SeaWorld San Diego,Discovery Cove Orlando,10,-117.2266083,32.7647903,-81.4597077,28.4060928
Six Flags Discovery Kingdom,Dolphinaris Arizona,10,-122.2340155,38.13819549999999,-111.877366,33.5553703
Straits of Magellan,Chile,10,-70.759749,-53.58881719999999,-71.542969,-35.675147
Brookfield Zoo,"Dolphin Connection, Florida",9,-87.8357137,41.8328916,-80.9096457,24.7764696
Florida,Theater of the Sea,9,-81.5157535,27.6648274,-71.5627531,41.3770733
Naval Base Point Loma,SeaWorld San Diego,9,-117.2400346,32.6889711,-117.2266083,32.7647903
SeaWorld San Antonio,SeaWorld San Diego,9,-98.69931509999999,29.4584176,-117.2266083,32.7647903
Shedd Aquarium,Mystic Aquarium,9,-87.614038,41.8675726,-71.9532523,41.373346
Gulf of Mexico,Walker's Island,8,-90.065918,25.304304,-78.4034188,27.2599407
New England Aquarium,SeaWorld Orlando,8,-71.0497542,42.3591346,-81.4617047,28.4114555
SeaWorld San Antonio,SeaWorld Aurora,8,-98.69931509999999,29.4584176,-81.36843999999999,41.34552
Gulf of Mexico,Dolphin Quest Hawaii,7,-90.065918,25.304304,-155.889022,19.925505
Gulf of Mexico,Mississippi,7,-90.065918,25.304304,-89.3985283,32.3546679
"Indian River, Florida",SeaWorld Orlando,7,-80.6431877,28.2142068,-81.4617047,28.4114555
Indianapolis Zoo,Theater of the Sea,7,-86.18073,39.767442,-71.5627531,41.3770733
Marine Animal Productions,Naval Base Point Loma,7,-89.0187972,30.4204487,-117.2400346,32.6889711
Miami Seaquarium,Shedd Aquarium,7,-80.1648518,25.7342958,-87.614038,41.8675726
Mystic Aquarium,Shedd Aquarium,7,-71.9532523,41.373346,-87.614038,41.8675726
Pacific Ocean,Japan,7,-124.508523,-8.783195,138.252924,36.204824
