"","NDB_No","Shrt_Desc","FdGrp_Cd"
"1",2001,"ALLSPICE,GROUND",200
"2",2002,"ANISE SEED",200
"3",2003,"SPICES,BASIL,DRIED",200
"4",2004,"SPICES,BAY LEAF",200
"5",2005,"CARAWAY SEED",200
"6",2006,"SPICES,CARDAMOM",200
"7",2007,"CELERY SEED",200
"8",2008,"CHERVIL,DRIED",200
"9",2009,"CHILI POWDER",200
"10",2010,"CINNAMON,GROUND",200
"11",2011,"CLOVES,GROUND",200
"12",2012,"CORIANDER LEAF,DRIED",200
"13",2013,"CORIANDER SEED",200
"14",2014,"CUMIN SEED",200
"15",2015,"CURRY POWDER",200
"16",2016,"DILL SEED",200
"17",2017,"DILL WEED,DRIED",200
"18",2018,"FENNEL SEED",200
"19",2019,"FENUGREEK SEED",200
"20",2020,"GARLIC POWDER",200
"21",2021,"GINGER,GROUND",200
"22",2022,"MACE,GROUND",200
"23",2023,"MARJORAM,DRIED",200
"24",2024,"SPICES,MUSTARD SD,GROUND",200
"25",2025,"NUTMEG,GROUND",200
"26",2026,"ONION POWDER",200
"27",2027,"SPICES,OREGANO,DRIED",200
"28",2028,"PAPRIKA",200
"29",2029,"PARSLEY,DRIED",200
"30",2030,"PEPPER,BLACK",200
"31",2031,"PEPPER,RED OR CAYENNE",200
"32",2032,"PEPPER,WHITE",200
"33",2033,"POPPY SEED",200
"34",2034,"POULTRY SEASONING",200
"35",2035,"PUMPKIN PIE SPICE",200
"36",2036,"ROSEMARY,DRIED",200
"37",2037,"SAFFRON",200
"38",2038,"SAGE,GROUND",200
"39",2039,"SAVORY,GROUND",200
"40",2041,"SPICES,TARRAGON,DRIED",200
"41",2042,"SPICES,THYME,DRIED",200
"42",2043,"TURMERIC,GROUND",200
"43",2044,"BASIL,FRESH",200
"44",2045,"DILL WEED,FRSH",200
"45",2046,"MUSTARD,PREPARED,YELLOW",200
"46",2047,"SALT,TABLE",200
"47",2048,"VINEGAR,CIDER",200
"48",2049,"THYME,FRSH",200
"49",2050,"VANILLA EXTRACT",200
"50",2051,"VANILLA EXTRACT,IMITN,ALCOHOL",200
"51",2052,"VANILLA EXTRACT,IMITN,NO ALCOHOL",200
"52",2053,"VINEGAR,DISTILLED",200
"53",2054,"CAPERS,CANNED",200
"54",2055,"HORSERADISH,PREPARED",200
"55",2063,"ROSEMARY,FRESH",200
"56",2064,"PEPPERMINT,FRESH",200
"57",2065,"SPEARMINT,FRESH",200
"58",2066,"SPEARMINT,DRIED",200
"59",2068,"VINEGAR,RED WINE",200
"60",2069,"VINEGAR,BALSAMIC",200
"61",2073,"PACE,DRY TACO SEAS MIX",200
"62",2074,"SEASONING MIX,DRY,SAZON,CORIANDER & ANNATTO",200
"63",2075,"SEASONING MIX,DRY,TACO,ORIGINAL",200
"64",2076,"SEASONING MIX,DRY,CHILI,ORIGINAL",200
"65",11001,"ALFALFA SEEDS,SPROUTED,RAW",1100
"66",11003,"AMARANTH LEAVES,RAW",1100
"67",11005,"ARROWHEAD,RAW",1100
"68",11007,"ARTICHOKES,(GLOBE OR FRENCH),RAW",1100
"69",11011,"ASPARAGUS,RAW",1100
"70",11022,"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,RAW",1100
"71",11024,"BALSAM-PEAR (BITTER GOURD),PODS,RAW",1100
"72",11026,"BAMBOO SHOOTS,RAW",1100
"73",11029,"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,RAW",1100
"74",11031,"LIMA BNS,IMMAT SEEDS,RAW",1100
"75",11043,"MUNG BNS,MATURE SEEDS,SPROUTED,RAW",1100
"76",11046,"BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW",1100
"77",11052,"BEANS,SNAP,GREEN,RAW",1100
"78",11080,"BEETS,RAW",1100
"79",11086,"BEET GREENS,RAW",1100
"80",11088,"BROADBEANS,IMMAT SEEDS,RAW",1100
"81",11090,"BROCCOLI,RAW",1100
"82",11096,"BROCCOLI RAAB,RAW",1100
"83",11098,"BRUSSELS SPROUTS,RAW",1100
"84",11104,"BURDOCK ROOT,RAW",1100
"85",11106,"BUTTERBUR,(FUKI),RAW",1100
"86",11109,"CABBAGE,RAW",1100
"87",11112,"CABBAGE,RED,RAW",1100
"88",11114,"CABBAGE,SAVOY,RAW",1100
"89",11116,"CABBAGE,CHINESE (PAK-CHOI),RAW",1100
"90",11119,"CABBAGE,CHINESE (PE-TSAI),RAW",1100
"91",11122,"CARDOON,RAW",1100
"92",11124,"CARROTS,RAW",1100
"93",11134,"CASSAVA,RAW",1100
"94",11135,"CAULIFLOWER,RAW",1100
"95",11141,"CELERIAC,RAW",1100
"96",11143,"CELERY,RAW",1100
"97",11145,"CELTUCE,RAW",1100
"98",11147,"CHARD,SWISS,RAW",1100
"99",11149,"CHAYOTE,FRUIT,RAW",1100
"100",11151,"CHICORY,WITLOOF,RAW",1100
"101",11152,"CHICORY GREENS,RAW",1100
"102",11154,"CHICORY ROOTS,RAW",1100
"103",11156,"CHIVES,RAW",1100
"104",11157,"CHRYSANTHEMUM,GARLAND,RAW",1100
"105",11161,"COLLARDS,RAW",1100
"106",11165,"CORIANDER (CILANTRO) LEAVES,RAW",1100
"107",11167,"CORN,SWT,YEL,RAW",1100
"108",11190,"CORNSALAD,RAW",1100
"109",11191,"COWPEAS (BLACKEYES),IMMAT SEEDS,RAW",1100
"110",11197,"COWPEAS,YOUNG PODS W/SEEDS,RAW",1100
"111",11199,"YARDLONG BEAN,RAW",1100
"112",11201,"COWPEAS,LEAFY TIPS,RAW",1100
"113",11203,"CRESS,GARDEN,RAW",1100
"114",11205,"CUCUMBER,WITH PEEL,RAW",1100
"115",11206,"CUCUMBER,PEELED,RAW",1100
"116",11207,"DANDELION GREENS,RAW",1100
"117",11209,"EGGPLANT,RAW",1100
"118",11213,"ENDIVE,RAW",1100
"119",11215,"GARLIC,RAW",1100
"120",11216,"GINGER ROOT,RAW",1100
"121",11218,"GOURD,WHITE-FLOWERED (CALABASH),RAW",1100
"122",11220,"GOURD,DISHCLOTH (TOWELGOURD),RAW",1100
"123",11222,"DRUMSTICK LEAVES,RAW",1100
"124",11224,"HYACINTH-BEANS,IMMAT SEEDS,RAW",1100
"125",11226,"JERUSALEM-ARTICHOKES,RAW",1100
"126",11228,"JEW'S EAR,(PEPEAO),RAW",1100
"127",11231,"JUTE,POTHERB,RAW",1100
"128",11233,"KALE,RAW",1100
"129",11238,"MUSHROOMS,SHIITAKE,RAW",1100
"130",11239,"MUSHROOMS,CHANTERELLE,RAW",1100
"131",11240,"MUSHROOMS,MOREL,RAW",1100
"132",11241,"KOHLRABI,RAW",1100
"133",11244,"LAMBSQUARTERS,RAW",1100
"134",11246,"LEEKS,(BULB&LOWER LEAF-PORTION),RAW",1100
"135",11248,"LENTILS,SPROUTED,RAW",1100
"136",11250,"LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW",1100
"137",11251,"LETTUCE,COS OR ROMAINE,RAW",1100
"138",11252,"LETTUCE,ICEBERG (INCL CRISPHEAD TYPES),RAW",1100
"139",11253,"LETTUCE,GRN LEAF,RAW",1100
"140",11254,"LOTUS ROOT,RAW",1100
"141",11257,"LETTUCE,RED LEAF,RAW",1100
"142",11258,"MOUNTAIN YAM,HAWAII,RAW",1100
"143",11260,"MUSHROOMS,WHITE,RAW",1100
"144",11265,"MUSHROOMS,PORTABELLA,RAW",1100
"145",11266,"MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,RAW",1100
"146",11270,"MUSTARD GREENS,RAW",1100
"147",11274,"MUSTARD SPINACH,(TENDERGREEN),RAW",1100
"148",11276,"NEW ZEALAND SPINACH,RAW",1100
"149",11278,"OKRA,RAW",1100
"150",11282,"ONIONS,RAW",1100
"151",11291,"ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",1100
"152",11293,"ONIONS,WELSH,RAW",1100
"153",11294,"ONIONS,SWT,RAW",1100
"154",11298,"PARSNIPS,RAW",1100
"155",11300,"PEAS,EDIBLE-PODDED,RAW",1100
"156",11304,"PEAS,GREEN,RAW",1100
"157",11316,"PEAS,MATURE SEEDS,SPROUTED,RAW",1100
"158",11333,"PEPPERS,SWT,GRN,RAW",1100
"159",11344,"PIGEONPEAS,IMMAT SEEDS,RAW",1100
"160",11350,"POKEBERRY SHOOTS,(POKE),RAW",1100
"161",11352,"POTATOES,FLESH & SKN,RAW",1100
"162",11353,"POTATOES,RUSSET,FLESH & SKN,RAW",1100
"163",11354,"POTATOES,WHITE,FLESH & SKN,RAW",1100
"164",11355,"POTATOES,RED,FLESH & SKN,RAW",1100
"165",11416,"PUMPKIN FLOWERS,RAW",1100
"166",11418,"PUMPKIN LEAVES,RAW",1100
"167",11422,"PUMPKIN,RAW",1100
"168",11427,"PURSLANE,RAW",1100
"169",11429,"RADISHES,RAW",1100
"170",11430,"RADISHES,ORIENTAL,RAW",1100
"171",11435,"RUTABAGAS,RAW",1100
"172",11437,"SALSIFY,(VEG OYSTER),RAW",1100
"173",11442,"SEAWEED,AGAR,RAW",1100
"174",11444,"SEAWEED,IRISHMOSS,RAW",1100
"175",11445,"SEAWEED,KELP,RAW",1100
"176",11446,"SEAWEED,LAVER,RAW",1100
"177",11447,"SESBANIA FLOWER,RAW",1100
"178",11450,"SOYBEANS,GREEN,RAW",1100
"179",11452,"SOYBEANS,MATURE SEEDS,SPROUTED,RAW",1100
"180",11457,"SPINACH,RAW",1100
"181",11467,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,RAW",1100
"182",11475,"SQUASH,SUMMER,SCALLOP,RAW",1100
"183",11477,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW",1100
"184",11482,"SQUASH,WINTER,ACORN,RAW",1100
"185",11485,"SQUASH,WNTR,BUTTERNUT,RAW",1100
"186",11489,"SQUASH,WINTER,HUBBARD,RAW",1100
"187",11492,"SQUASH,WNTR,SPAGHETTI,RAW",1100
"188",11495,"SUCCOTASH,(CORN&LIMAS),RAW",1100
"189",11503,"SWAMP CABBAGE,(SKUNK CABBAGE),RAW",1100
"190",11505,"SWEET POTATO LEAVES,RAW",1100
"191",11518,"TARO,RAW",1100
"192",11520,"TARO LEAVES,RAW",1100
"193",11522,"TARO SHOOTS,RAW",1100
"194",11525,"TARO,TAHITIAN,RAW",1100
"195",11527,"TOMATOES,GREEN,RAW",1100
"196",11564,"TURNIPS,RAW",1100
"197",11568,"TURNIP GREENS,RAW",1100
"198",11587,"VINESPINACH,(BASELLA),RAW",1100
"199",11588,"WATERCHESTNUTS,CHINESE,(MATAI),RAW",1100
"200",11591,"WATERCRESS,RAW",1100
"201",11593,"WAXGOURD,(CHINESE PRESERVING MELON),RAW",1100
"202",11595,"WINGED BNS,IMMAT SEEDS,RAW",1100
"203",11597,"WINGED BEAN LEAVES,RAW",1100
"204",11599,"WINGED BEAN TUBER,RAW",1100
"205",11601,"YAM,RAW",1100
"206",11603,"YAMBEAN (JICAMA),RAW",1100
"207",11613,"BORAGE,RAW",1100
"208",11616,"DOCK,RAW",1100
"209",11618,"EPPAW,RAW",1100
"210",11620,"DRUMSTICK PODS,RAW",1100
"211",11622,"KALE,SCOTCH,RAW",1100
"212",11637,"RADISHES,WHITE ICICLE,RAW",1100
"213",11641,"SQUASH,SMMR,ALL VAR,RAW",1100
"214",11643,"SQUASH,WNTR,ALL VAR,RAW",1100
"215",11653,"BEANS,PINTO,MATURE SEEDS,SPROUTED,RAW",1100
"216",11666,"SEAWEED,SPIRULINA,RAW",1100
"217",11669,"SEAWEED,WAKAME,RAW",1100
"218",11670,"PEPPERS,HOT CHILI,GRN,RAW",1100
"219",11676,"RADISH SEEDS,SPROUTED,RAW",1100
"220",11677,"SHALLOTS,RAW",1100
"221",11695,"TOMATOES,ORANGE,RAW",1100
"222",11696,"TOMATOES,YELLOW,RAW",1100
"223",11697,"ARROWROOT,RAW",1100
"224",11698,"CHRYSANTHEMUM LEAVES,RAW",1100
"225",11722,"BEANS,SNAP,YELLOW,RAW",1100
"226",11739,"BROCCOLI,LEAVES,RAW",1100
"227",11740,"BROCCOLI,FLOWER CLUSTERS,RAW",1100
"228",11741,"BROCCOLI,STALKS,RAW",1100
"229",11749,"CABBAGE,COMMON,FRESHLY HARVEST,RAW",1100
"230",11750,"CABBAGE,COMMON (DANISH,DOMESTIC,&POINTED TYPES),STORED,RAW",1100
"231",11819,"PEPPERS,HOT CHILI,RED,RAW",1100
"232",11821,"PEPPERS,SWT,RED,RAW",1100
"233",11900,"CORN,SWEET,WHITE,RAW",1100
"234",11936,"MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,EXPOSED TO UV LT,RAW",1100
"235",11938,"MUSHROOM,WHITE,EXPOSED TO UV LT,RAW",1100
"236",11950,"MUSHROOMS,ENOKI,RAW",1100
"237",11951,"PEPPERS,SWEET,YELLOW,RAW",1100
"238",11952,"RADICCHIO,RAW",1100
"239",11953,"SQUASH,ZUCCHINI,BABY,RAW",1100
"240",11954,"TOMATILLOS,RAW",1100
"241",11957,"FENNEL,BULB,RAW",1100
"242",11959,"ARUGULA,RAW",1100
"243",11960,"CARROTS,BABY,RAW",1100
"244",11963,"NOPALES,RAW",1100
"245",11965,"CAULIFLOWER,GREEN,RAW",1100
"246",11972,"LEMON GRASS (CITRONELLA),RAW",1100
"247",11973,"BEANS,FAVA,IN POD,RAW",1100
"248",11974,"GRAPE LEAVES,RAW",1100
"249",11976,"PEPPER,BANANA,RAW",1100
"250",11977,"PEPPERS,SERRANO,RAW",1100
"251",11979,"PEPPERS,JALAPENO,RAW",1100
"252",11981,"PEPPERS,HUNGARIAN,RAW",1100
"253",11984,"EPAZOTE,RAW",1100
"254",11985,"FIREWEED,LEAVES,RAW",1100
"255",11987,"MUSHROOMS,OYSTER,RAW",1100
"256",11990,"WASABI,ROOT,RAW",1100
"257",11991,"YAUTIA (TANNIER),RAW",1100
"258",11993,"MUSHROOMS,MAITAKE,RAW",1100
"259",11994,"BROCCOLI,CHINESE,RAW",1100
"260",11995,"FIDDLEHEAD FERNS,RAW",1100
"261",11998,"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,RAW",1100
"262",43392,"HEARTS OF PALM,RAW",1100
"263",12001,"BREADFRUIT SEEDS,RAW",1200
"264",12003,"BREADFRUIT SEEDS,BOILED",1200
"265",12004,"SEEDS,BREADNUT TREE SEEDS,RAW",1200
"266",12005,"SEEDS,BREADNUT TREE SEEDS,DRIED",1200
"267",12006,"CHIA SEEDS,DRIED",1200
"268",12007,"COTTONSEED FLR,PART DEFATTED (GLANDLESS)",1200
"269",12008,"COTTONSEED FLR,LOFAT (GLANDLESS)",1200
"270",12011,"COTTONSEED MEAL,PART DEFATTED (GLANDLESS)",1200
"271",12012,"SEEDS,HEMP SD,HULLED",1200
"272",12013,"LOTUS SEEDS,DRIED",1200
"273",12014,"PUMPKIN&SQUASH SD KRNLS,DRIED",1200
"274",12021,"SAFFLOWER SD KRNLS,DRIED",1200
