"","ndb_no","water_g","energ_kcal","protein_g","lipid_tot_g","ash_g","carbohydrt_g","fiber_td_g","sugar_tot_g","calcium_mg","iron_mg","magnesium_mg","phosphorus_mg","potassium_mg","sodium_mg","zinc_mg","copper_mg","manganese_mg","selenium_µg","vit_c_mg","thiamin_mg","riboflavin_mg","niacin_mg","panto_acid_mg","vit_b6_mg","folate_tot_µg","folic_acid_µg","food_folate_µg","folate_dfe_µg","choline_tot_mg","vit_b12_µg","vit_a_iu","vit_a_rae","retinol_µg","alpha_carot_µg","beta_carot_µg","beta_crypt_µg","lycopene_µg","lut_zea_µg","vit_e_mg","vit_d_µg","vit_d_iu","vit_k_µg","fa_sat_g","fa_mono_g","fa_poly_g","cholestrl_mg"
"1",2001,8.46,263,6.09,8.69,4.65,72.12,21.6,0,661,7.06,135,113,1044,77,1.01,0.553,2.943,2.7,39.2,0.101,0.063,2.86,0,0.21,36,0,36,36,0,0,540,27,0,0,0,0,0,0,0,0,0,0,2.55,0.66,2.36,0
"2",2002,9.54,337,17.6,15.9,6.95,50.02,14.6,0,646,36.96,170,440,1441,16,5.3,0.91,2.3,5,21,0.34,0.29,3.06,0.797,0.65,10,0,10,10,0,0,311,16,0,0,0,0,0,0,0,0,0,0,0.586,9.78,3.15,0
"3",2003,10.35,233,22.98,4.07,14.85,47.75,37.7,1.71,2240,89.8,711,274,2630,76,7.1,2.1,9.8,3,0.8,0.08,1.2,4.9,0.838,1.34,310,0,310,310,54.9,0,744,37,0,113,378,24,393,1150,10.7,0,0,1714.5,2.157,1.238,0.498,0
"4",2004,5.44,313,7.61,8.36,3.62,74.97,26.3,0,834,43,120,113,529,23,3.7,0.416,8.167,2.8,46.5,0.009,0.421,2.005,0,1.74,180,0,180,180,0,0,6185,309,0,0,0,0,0,0,0,0,0,0,2.28,1.64,2.29,0
"5",2005,9.87,333,19.77,14.59,5.87,49.9,38,0.64,689,16.23,258,568,1351,17,5.5,0.91,1.3,12.1,21,0.383,0.379,3.606,0,0.36,10,0,10,10,24.7,0,363,18,0,8,206,16,20,454,2.5,0,0,0,0.62,7.125,3.272,0
"6",2006,8.28,311,10.76,6.7,5.78,68.47,28,0,383,13.97,229,178,1119,18,7.47,0.383,28,0,21,0.198,0.182,1.102,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.87,0.43,0
"7",2007,6.04,392,18.07,25.27,9.27,41.35,11.8,0.67,1767,44.9,440,547,1400,160,6.93,1.37,7.567,12.1,17.1,0.34,0.29,3.06,0,0.89,10,0,10,10,24.7,0,52,3,0,0,31,0,0,0,1.07,0,0,0,2.19,15.93,3.72,0
"8",2008,7.2,237,23.2,3.9,16.6,49.1,11.3,0,1346,31.95,130,450,4740,83,8.8,0.44,2.1,29.3,50,0.38,0.68,5.4,0,0.93,274,0,274,274,0,0,5850,293,0,0,0,0,0,0,0,0,0,0,0.169,1.399,1.8,0
"9",2009,10.75,282,13.46,14.28,11.81,49.7,34.8,7.19,330,17.3,149,300,1950,2867,4.3,1,1.7,20.4,0.7,0.25,0.94,11.6,0.888,2.094,28,0,28,28,66.5,0,29650,1483,0,2090,15000,3490,21,310,38.14,0,0,105.7,2.462,3.211,8.006,0
"10",2010,10.58,247,3.99,1.24,3.6,80.59,53.1,2.17,1002,8.32,60,64,431,10,1.83,0.339,17.466,3.1,3.8,0.022,0.041,1.332,0.358,0.158,6,0,6,6,11,0,295,15,0,1,112,129,15,222,2.32,0,0,31.2,0.345,0.246,0.068,0
"11",2011,9.87,274,5.97,13,5.63,65.53,33.9,2.38,632,11.83,259,104,1020,277,2.32,0.368,60.127,7.2,0.2,0.158,0.22,1.56,0.509,0.391,25,0,25,25,37.4,0,160,8,0,0,45,103,0,0,8.82,0,0,141.8,3.952,1.393,3.606,0
"12",2012,7.3,279,21.93,4.78,14.08,52.1,10.4,7.27,1246,42.46,694,481,4466,211,4.72,1.786,6.355,29.3,566.7,1.252,1.5,10.707,0,0.61,274,0,274,274,97.1,0,5850,293,0,31,3407,175,0,2428,1.03,0,0,1359.5,0.115,2.232,0.328,0
"13",2013,8.86,298,12.37,17.77,6.02,54.99,41.9,0,709,16.32,330,409,1267,35,4.7,0.975,1.9,26.2,21,0.239,0.29,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,13.58,1.75,0
"14",2014,8.06,375,17.81,22.27,7.62,44.24,10.5,2.25,931,66.36,366,499,1788,168,4.8,0.867,3.333,5.2,7.7,0.628,0.327,4.579,0,0.435,10,0,10,10,24.7,0,1270,64,0,0,762,0,0,448,3.33,0,0,5.4,1.535,14.04,3.279,0
"15",2015,8.8,325,14.29,14.01,7.07,55.83,53.2,2.76,525,19.1,255,367,1170,52,4.7,1.2,8.3,40.3,0.7,0.176,0.2,3.26,1.07,0.105,56,0,56,56,64.2,0,19,1,0,0,11,0,0,0,25.24,0,0,99.8,1.648,8.782,3.056,0
"16",2016,7.7,305,15.98,14.54,6.62,55.17,21.1,0,1516,16.33,256,277,1186,20,5.2,0.78,1.833,12.1,21,0.418,0.284,2.807,0,0.25,10,0,10,10,0,0,53,3,0,0,0,0,0,0,0,0,0,0,0.73,9.41,1.01,0
"17",2017,7.3,253,19.96,4.36,12.56,55.82,13.6,0,1784,48.78,451,543,3308,208,3.3,0.49,3.95,0,50,0.418,0.284,2.807,0,1.71,0,0,0,0,0,0,5850,293,0,0,0,0,0,0,0,0,0,0,0.234,0,0,0
"18",2018,8.81,345,15.8,14.87,8.22,52.29,39.8,0,1196,18.54,385,487,1694,88,3.7,1.067,6.533,0,21,0.408,0.353,6.05,0,0.47,0,0,0,0,0,0,135,7,0,0,0,0,0,0,0,0,0,0,0.48,9.91,1.69,0
"19",2019,8.84,323,23,6.41,3.4,58.35,24.6,0,176,33.53,191,296,770,67,2.5,1.11,1.228,6.3,3,0.322,0.366,1.64,0,0.6,57,0,57,57,0,0,60,3,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0
"20",2020,6.45,331,16.55,0.73,3.54,72.73,9,2.43,79,5.65,77,414,1193,60,2.99,0.533,0.979,23.9,1.2,0.435,0.141,0.796,0.743,1.654,47,0,47,47,67.5,0,0,0,0,0,0,0,0,0,0.67,0,0,0.4,0.249,0.115,0.178,0
